@relation train

@attribute p1 numeric
@attribute p2 numeric
@attribute p3 numeric
@attribute p4 numeric
@attribute p5 numeric
@attribute p6 numeric
@attribute p7 numeric
@attribute p8 numeric
@attribute p9 numeric
@attribute p10 numeric
@attribute p11 numeric
@attribute p12 numeric
@attribute p13 numeric
@attribute p14 numeric
@attribute p15 numeric
@attribute p16 numeric
@attribute p17 numeric
@attribute p18 numeric
@attribute p19 numeric
@attribute p20 numeric
@attribute p21 numeric
@attribute r {TRUE,FALSE}

@data
1.602718,-0.383962,-1.650644,-0.548965,-0.81962,0.053734,-1.744733,-0.570316,1.553274,-0.597333,-2.097491,1.596663,-0.218326,-0.45562,-1.517262,0.515462,-0.15576,3.344796,-0.464298,-1.283034,0.851685,TRUE
-0.216882,-1.16409,0.371124,-1.345577,0.034105,-0.648605,-1.092821,-1.275837,0.856411,0.467213,-0.292996,-0.437996,0.024097,0.526608,-1.335792,-0.03731,-0.58845,-0.741861,-0.43501,0.176361,2.832959,TRUE
9.074213,1.421608,-0.972705,-1.426161,0.709069,-0.826182,-1.137672,-1.197524,-1.205684,-0.881239,-0.178826,-0.666828,-0.436619,0.422791,0.589859,-0.809671,-1.413348,-0.578265,-1.988099,-1.349501,-0.681836,FALSE
0.302867,-0.157026,-0.437423,-0.308054,-0.67361,-0.024927,-1.141681,-1.079353,0.425216,0.361887,-0.602656,-0.188183,-0.473999,0.070274,-0.329663,1.055861,0.563258,-0.758838,0.422483,-0.619694,0.754363,TRUE
-0.425003,-2.417137,2.292155,-1.434038,1.342516,-1.760673,0.304166,-1.348807,0.060259,2.431824,5.161531,-1.241691,-0.057757,-0.365328,-1.870501,-0.964844,-0.589181,-2.157611,-0.197537,0.780621,-0.637807,TRUE
1.72199,0.029259,1.117338,1.710326,-0.608029,0.508157,-0.505314,-1.093384,-0.332655,-0.460896,1.332241,0.20808,0.34347,-0.353315,-2.321431,-1.61138,-0.541266,-1.468108,-0.396498,0.583645,-1.57098,FALSE
3.10554,-0.587122,-1.037093,-1.184575,0.023961,0.663585,-2.765118,-1.315712,-1.89455,-0.259465,-1.030634,0.21968,0.635346,-0.416962,-0.483816,2.014121,1.16829,0.740598,-1.028366,-0.825949,0.511461,TRUE
0.452763,-0.711268,-0.917855,-0.98491,-0.728796,0.87051,-1.636392,-0.841231,0.210343,0.109242,-1.997627,-1.304835,-0.372207,-0.015318,-1.171035,5.286174,1.571054,-0.936565,1.225619,-0.897666,0.707292,TRUE
-0.355653,-0.186359,-1.16923,-1.073478,0.703483,-0.359679,-1.645243,-1.943848,-0.421601,0.106324,-0.89049,-0.586638,-0.200151,-0.080192,-1.832671,1.369857,5.835466,-1.165323,-0.240283,0.179098,-0.165102,TRUE
0.397219,-1.303914,6.706803,-0.812944,0.40546,-1.319969,0.529041,0.121363,0.459456,-0.694403,1.105676,-1.463138,0.554804,-0.809674,1.030447,-0.589394,-1.167956,0.1705,0.999129,-0.859162,-0.574865,FALSE
1.322904,-0.483719,2.666381,-0.264478,-1.305433,-1.712356,0.793812,-0.507695,2.10456,-0.699768,2.963897,-1.290439,1.756977,-0.67391,-0.744036,-1.531999,-1.647471,0.865438,0.186374,1.672573,-1.557876,FALSE
0.866063,-1.694807,-0.760771,-0.147286,-0.929607,-1.936385,-0.083477,-0.671305,0.639032,-0.659989,-0.108787,-1.409628,0.676504,-0.836496,0.9076,0.741692,1.898254,3.035595,-0.367068,0.246565,0.244853,FALSE
0.40577,-0.68906,-1.749415,-1.430209,1.591874,0.014667,-0.656436,-2.60337,-0.386258,0.594169,-0.600009,-0.163675,-0.29437,7.056841,-1.172984,-1.207021,-0.149864,-1.491485,-1.490163,-1.10928,-1.277578,FALSE
